Asset,Date,Benchmark_Cumulative_Squared_Error,Extended_Cumulative_Squared_Error,Benchmark_Minus_Extended_Cumulative_Loss,Extended_Loss_Lower
ETH,2025-03-27,0.5376053583875711,0.540029043619247,-0.0024236852316759094,False
ETH,2025-03-28,0.542074004865356,0.5446104878395236,-0.002536482974167642,False
ETH,2025-03-29,0.5432512433446277,0.5458221217145659,-0.00257087836993819,False
ETH,2025-03-30,0.5432527537297328,0.5458246849318836,-0.0025719312021508234,False
ETH,2025-03-31,0.5432777956215704,0.5458543755914839,-0.0025765799699134506,False
ETH,2025-04-01,0.5455296184095563,0.548056982720816,-0.002527364311259772,False
ETH,2025-04-02,0.5457892052050025,0.5483354841281516,-0.00254627892314907,False
ETH,2025-04-03,0.5478315409669567,0.5504337030440786,-0.002602162077121828,False
ETH,2025-04-04,0.5485154270290089,0.5511040733070416,-0.00258864627803268,False
ETH,2025-04-05,0.5485226512171704,0.5511113335051521,-0.002588682287981703,False
ETH,2025-04-06,0.561169591758412,0.5636859434267741,-0.002516351668362171,False
ETH,2025-04-07,0.5613246497121287,0.5638320237022297,-0.002507373990101036,False
ETH,2025-04-08,0.5640451112279111,0.5666231139170733,-0.0025780026891621954,False
ETH,2025-04-09,0.5809152501244843,0.5833375048161937,-0.0024222546917094245,False
ETH,2025-04-10,0.5935144150522448,0.595961752143735,-0.0024473370914902537,False
ETH,2025-04-11,0.5946027698303877,0.5969938814464646,-0.0023911116160768575,False
ETH,2025-04-12,0.5968446776925177,0.5991829855409035,-0.0023383078483858455,False
ETH,2025-04-13,0.5981170007640062,0.6004909834788352,-0.002373982714829026,False
ETH,2025-04-14,0.598608054033418,0.6009523800426697,-0.002344326009251718,False
ETH,2025-04-15,0.5994276088283746,0.6018697051588136,-0.002442096330438903,False
ETH,2025-04-16,0.5997705154732694,0.6022200100989592,-0.0024494946256897743,False
ETH,2025-04-17,0.5998227020951628,0.6022580273871968,-0.002435325292034052,False
ETH,2025-04-18,0.5998524669459064,0.6022768685939236,-0.0024244016480171604,False
ETH,2025-04-19,0.6000032724320639,0.6024121649375171,-0.002408892505453286,False
ETH,2025-04-20,0.6002416292026083,0.6026818473963881,-0.0024402181937798195,False
ETH,2025-04-21,0.6003324646410811,0.6027787983925011,-0.0024463337514200045,False
