Asset,Model,Date,Actual_Return,Predicted_Return,Forecast_Error,Squared_Error,Absolute_Error,Actual_Direction,Predicted_Direction,Direction_Correct,Training_Observations
BTC,Cross_Crypto,2024-04-15,-0.011409078485891,-0.0014896113627616975,-0.009919467123129303,9.839582800684314e-05,0.009919467123129303,0,0,1,817
BTC,Cross_Crypto,2024-04-16,-0.0015612310741558,-0.003006756825298121,0.0014455257511423209,2.089544697215571e-06,0.0014455257511423209,0,0,1,818
BTC,Cross_Crypto,2024-04-17,-0.0354879594851966,-0.0003793754712700659,-0.03510858401392653,0.0012326126714629377,0.03510858401392653,0,0,1,819
BTC,Cross_Crypto,2024-04-18,0.0431290544363939,0.008156841116649965,0.034972213319743935,0.001223055704481675,0.034972213319743935,1,1,1,820
BTC,Cross_Crypto,2024-04-19,0.0083707755536935,-0.007512551747004187,0.015883327300697685,0.0002522800861410884,0.015883327300697685,1,0,0,821
BTC,Cross_Crypto,2024-04-22,0.028786931697061,0.0033771133278287513,0.02540981836923225,0.0006456588695573726,0.02540981836923225,1,1,1,822
BTC,Cross_Crypto,2024-04-23,-0.0028947271708792,-0.0034932456653322536,0.0005985184944530537,3.582243882023501e-07,0.0005985184944530537,0,0,1,823
BTC,Cross_Crypto,2024-04-24,-0.0354649271994759,0.0035149720624108316,-0.03897989926188673,0.001519432546466838,0.03897989926188673,0,1,0,824
BTC,Cross_Crypto,2024-04-25,0.0116275867015831,0.0043477403491240935,0.007279846352459006,5.2996162915410694e-05,0.007279846352459006,1,1,1,825
BTC,Cross_Crypto,2024-04-26,-0.0132938972454768,-0.001492436659306387,-0.011801460586170412,0.00013927447196693368,0.011801460586170412,0,0,1,826
BTC,Cross_Crypto,2024-04-29,-0.0113181186472079,0.003689664892861405,-0.015007783540069305,0.00022523356678557518,0.015007783540069305,0,1,0,827
BTC,Cross_Crypto,2024-04-30,-0.0501919055068689,0.002571060655065155,-0.05276296616193406,0.0027839305982053984,0.05276296616193406,0,1,0,828
BTC,Cross_Crypto,2024-05-01,-0.0441131876491687,0.002299188203367969,-0.04641237585253667,0.002154108632277129,0.04641237585253667,0,1,0,829
BTC,Cross_Crypto,2024-05-02,0.0247850036738036,0.010793946904473176,0.013991056769330424,0.00019574966952262668,0.013991056769330424,1,1,1,830
BTC,Cross_Crypto,2024-05-03,0.069337382317619,-0.0009486708440597097,0.07028605316167871,0.004940129269046327,0.07028605316167871,1,0,0,831
BTC,Cross_Crypto,2024-05-06,-0.0070055858689724,0.006750865952564716,-0.013756451821537116,0.00018923996671827182,0.013756451821537116,0,1,0,832
BTC,Cross_Crypto,2024-05-07,-0.0051793891028767,0.0013223645716149146,-0.006501753674491614,4.227280084376521e-05,0.006501753674491614,0,1,0,833
BTC,Cross_Crypto,2024-05-08,-0.0226029285609912,0.0022569546913929345,-0.024859883252384134,0.0006180137953221692,0.024859883252384134,0,1,0,834
BTC,Cross_Crypto,2024-05-09,0.0169175661540506,0.0030805261027950087,0.013837040051255592,0.00019146367738005136,0.013837040051255592,1,1,1,835
BTC,Cross_Crypto,2024-05-10,-0.0345572554020824,0.0014832437630302592,-0.036040499165112656,0.0012989175800704861,0.036040499165112656,0,1,0,836
BTC,Cross_Crypto,2024-05-13,0.0294764616413887,0.0009970330106824216,0.02847942863070628,0.0008110778551314925,0.02847942863070628,1,1,1,837
BTC,Cross_Crypto,2024-05-14,-0.0234332793162606,-0.004340763191250041,-0.019092516125010558,0.0003645241719837882,0.019092516125010558,0,0,1,838
BTC,Cross_Crypto,2024-05-15,0.0682091139504595,0.005677171911274273,0.06253194203918523,0.0039102437751920216,0.06253194203918523,1,1,1,839
BTC,Cross_Crypto,2024-05-16,-0.0105982560276306,-0.005483594590888,-0.0051146614367426,2.6159761612501877e-05,0.0051146614367426,0,0,1,840
BTC,Cross_Crypto,2024-05-17,0.0247962841999007,-3.342172820304523e-05,0.024829705928103744,0.0006165142964761102,0.024829705928103744,1,0,0,841
BTC,Cross_Crypto,2024-05-20,0.0496603236030745,0.0031730384198456613,0.04648728518322884,0.0021610676837068477,0.04648728518322884,1,1,1,842
BTC,Cross_Crypto,2024-05-21,0.0026500545160474,-0.0008673897057882296,0.0035174442218356295,1.2372413853724857e-05,0.0035174442218356295,1,0,0,843
BTC,Cross_Crypto,2024-05-22,-0.0043702404899438,0.005101429980799363,-0.009471670470743163,8.9712541506348e-05,0.009471670470743163,0,1,0,844
BTC,Cross_Crypto,2024-05-23,-0.024324755118298,-0.00018766427693800436,-0.024137090841359995,0.0005825991542840645,0.024137090841359995,0,0,1,845
BTC,Cross_Crypto,2024-05-24,0.016470857244696,0.001865166614178529,0.014605690630517473,0.00021332619879438588,0.014605690630517473,1,1,1,846
BTC,Cross_Crypto,2024-05-28,-0.0194878259779661,-0.0008869830698908648,-0.018600842908075236,0.0003459913568908928,0.018600842908075236,0,0,1,847
BTC,Cross_Crypto,2024-05-29,-0.0123181229600415,0.0007858863243634245,-0.013104009284404925,0.00017171505932577047,0.013104009284404925,0,1,0,848
BTC,Cross_Crypto,2024-05-30,0.0156534342388203,-0.0015280993053187059,0.017181533544139007,0.0002952050949283739,0.017181533544139007,1,0,0,849
BTC,Cross_Crypto,2024-05-31,-0.0123803512892118,0.0004915920355912928,-0.012871943324803093,0.0001656869249569429,0.012871943324803093,0,1,0,850
