Asset,Period,Start_Date,End_Date,N,Variable,Coefficient,HAC_SE,T_Statistic,P_Value,CI_95_Lower,CI_95_Upper,Sign,Significance,Significant_5pct,R_Squared,Adjusted_R_Squared,HAC_Maxlags
BTC,2025,2025-01-01,2025-12-31,365,Lagged_US10Y_Change_Aligned,0.03287498261388316,0.028769029515247787,1.142721293273351,0.25392009437537805,-0.023703088550121966,0.08945305377788829,Positive,,False,0.027004896494607356,0.007926561131756604,7
ETH,2021,2021-01-06,2021-12-31,360,const,-0.05539987734819642,0.2045439681339857,-0.2708458130229827,0.7866683715988588,-0.45768186463916694,0.34688210994277413,Negative,,False,0.02819314271921236,0.008867438171014985,7
ETH,2021,2021-01-06,2021-12-31,360,ETH_Lagged_Return,-0.1387569681072996,0.08275185574691167,-1.6767837633958809,0.09447256629712067,-0.301507213375237,0.023993277160637816,Negative,*,False,0.02819314271921236,0.008867438171014985,7
ETH,2021,2021-01-06,2021-12-31,360,Lagged_Log_ETH_Volume,0.002432209148483166,0.008582479742505793,0.2833923552929987,0.7770426861991147,-0.014447178878437926,0.01931159717540426,Positive,,False,0.02819314271921236,0.008867438171014985,7
ETH,2021,2021-01-06,2021-12-31,360,Lagged_SP500_Return_Aligned,0.6002499469758739,0.6479711903539984,0.9263528315941738,0.35489733184993927,-0.6741319892939518,1.8746318832456996,Positive,,False,0.02819314271921236,0.008867438171014985,7
ETH,2021,2021-01-06,2021-12-31,360,Lagged_VIX_Change_Aligned,0.0002504826915230041,0.0023434808704165077,0.10688488849430451,0.9149411923571884,-0.004358502605525638,0.0048594679885716465,Positive,,False,0.02819314271921236,0.008867438171014985,7
ETH,2021,2021-01-06,2021-12-31,360,Lagged_Gold_Return_Aligned,0.15343417235020282,0.4114585419121208,0.3729031159182333,0.7094449978627227,-0.6557921345327665,0.9626604792331722,Positive,,False,0.02819314271921236,0.008867438171014985,7
ETH,2021,2021-01-06,2021-12-31,360,Lagged_DXY_Return_Aligned,1.5902962583471147,1.1552840676781244,1.3765413224673586,0.1695290555220135,-0.681831220507306,3.8624237372015355,Positive,,False,0.02819314271921236,0.008867438171014985,7
ETH,2021,2021-01-06,2021-12-31,360,Lagged_US10Y_Change_Aligned,-0.046172969750025064,0.05690409519376448,-0.8114173433880497,0.41767436786791295,-0.15808774635466763,0.0657418068546175,Negative,,False,0.02819314271921236,0.008867438171014985,7
ETH,2022,2022-01-01,2022-12-31,365,const,0.13735466991176826,0.11112734157414256,1.2360114798582418,0.21726693290805396,-0.08119182768615008,0.3559011675096866,Positive,,False,0.009927711002585049,-0.009485471134619061,7
ETH,2022,2022-01-01,2022-12-31,365,ETH_Lagged_Return,-0.011914284825631553,0.0926404128978374,-0.12860785539428096,0.8977403701146794,-0.19410381161584445,0.17027524196458133,Negative,,False,0.009927711002585049,-0.009485471134619061,7
ETH,2022,2022-01-01,2022-12-31,365,Lagged_Log_ETH_Volume,-0.0060106263876903866,0.004807664508042619,-1.2502175178062787,0.21203897320150866,-0.015465529429328639,0.003444276653947866,Negative,,False,0.009927711002585049,-0.009485471134619061,7
ETH,2022,2022-01-01,2022-12-31,365,Lagged_SP500_Return_Aligned,0.048711827028208254,0.3314768239176434,0.14695394523362176,0.8832513241103037,-0.6031808384122752,0.7006044924686918,Positive,,False,0.009927711002585049,-0.009485471134619061,7
ETH,2022,2022-01-01,2022-12-31,365,Lagged_VIX_Change_Aligned,-0.0007001345355961354,0.0025749629003358953,-0.2719008244758809,0.7858554522284316,-0.005764136925480803,0.004363867854288531,Negative,,False,0.009927711002585049,-0.009485471134619061,7
ETH,2022,2022-01-01,2022-12-31,365,Lagged_Gold_Return_Aligned,-0.34325456346127203,0.30164619407571475,-1.1379376574368891,0.255909621989384,-0.936481381408735,0.24997225448619098,Negative,,False,0.009927711002585049,-0.009485471134619061,7
ETH,2022,2022-01-01,2022-12-31,365,Lagged_DXY_Return_Aligned,0.19894175448614948,0.5388091542029471,0.36922489704251826,0.7121789933037402,-0.8606971413672752,1.258580650339574,Positive,,False,0.009927711002585049,-0.009485471134619061,7
ETH,2022,2022-01-01,2022-12-31,365,Lagged_US10Y_Change_Aligned,-0.0233978383464446,0.027846908664314895,-0.8402310873532736,0.40134119409254304,-0.07816243787080882,0.03136676117791961,Negative,,False,0.009927711002585049,-0.009485471134619061,7
