Asset,Window_Start,Window_End,N,R_Squared,Adjusted_R_Squared,HAC_Maxlags
ETH,2022-04-06,2023-04-05,365,0.018385387734763836,-0.0008619576037700583,7
ETH,2022-04-13,2023-04-12,365,0.016777539236208394,-0.0025013325434737332,7
ETH,2022-04-20,2023-04-19,365,0.01652384069152313,-0.0027600055694272374,7
ETH,2022-04-27,2023-04-26,365,0.016864454643081173,-0.0024127129129367653,7
ETH,2022-05-04,2023-05-03,365,0.014898056035432261,-0.004417668356029747,7
ETH,2022-05-11,2023-05-10,365,0.011240172952466154,-0.008147274636701063,7
ETH,2022-05-18,2023-05-17,365,0.009049677313128224,-0.01038072117092792,7
ETH,2022-05-25,2023-05-24,365,0.007745196374718266,-0.011710780166953816,7
ETH,2022-06-01,2023-05-31,365,0.0084181216437893,-0.011024660284763677,7
ETH,2022-06-08,2023-06-07,365,0.006735620334581416,-0.012740151815720857,7
ETH,2022-06-15,2023-06-14,365,0.006771183749401999,-0.01270389107904113,7
ETH,2022-06-22,2023-06-21,365,0.013392434921928875,-0.005952811452150986,7
ETH,2022-06-29,2023-06-28,365,0.0108502512885853,-0.008544841823403093,7
ETH,2022-07-06,2023-07-05,365,0.012010679489687481,-0.00736166012816164,7
ETH,2022-07-13,2023-07-12,365,0.013927072649716377,-0.005407690631661577,7
ETH,2022-07-20,2023-07-19,365,0.015244120609252398,-0.004064818202330844,7
ETH,2022-07-27,2023-07-26,365,0.013894637371944851,-0.005440761895271873,7
ETH,2022-08-03,2023-08-02,365,0.017405055523306734,-0.0018615120154519271,7
ETH,2022-08-10,2023-08-09,365,0.016716205782251636,-0.0025638686141746803,7
ETH,2022-08-17,2023-08-16,365,0.01895815704565096,-0.00027795752208126245,7
ETH,2022-08-24,2023-08-23,365,0.020737563684725346,0.0015363394432494903,7
ETH,2022-08-31,2023-08-30,365,0.019058171185444284,-0.00017598232072346676,7
ETH,2022-09-07,2023-09-06,365,0.019207645111726124,-2.357753314186084e-05,7
ETH,2022-09-14,2023-09-13,365,0.01709900317662527,-0.002173565388538856,7
ETH,2022-09-21,2023-09-20,365,0.017441032139416945,-0.0018248299754963782,7
ETH,2022-09-28,2023-09-27,365,0.017708035167356084,-0.0015525915940681756,7
ETH,2022-10-05,2023-10-04,365,0.017534119948983684,-0.0017299169147617643,7
