Asset,Window_Start,Window_End,N,Variable,Coefficient,HAC_SE,T_Statistic,P_Value,CI_95_Lower,CI_95_Upper,Sign,Significance,Significant_5pct,R_Squared,Adjusted_R_Squared,HAC_Maxlags
BTC,2023-07-19,2024-07-17,365,BTC_Lagged_Return,-0.3027272970476678,0.13282405427693939,-2.279160191997141,0.023247275640441337,-0.5639432268790648,-0.0415113672162708,Negative,**,True,0.09789927453651459,0.08021102501762278,7
BTC,2023-07-19,2024-07-17,365,Lagged_Log_BTC_Volume,0.0016499394305675838,0.0034001872868791223,0.4852495734380527,0.6277969606880561,-0.005036974988496564,0.008336853849631731,Positive,,False,0.09789927453651459,0.08021102501762278,7
BTC,2023-07-19,2024-07-17,365,Lagged_SP500_Return_Aligned,-0.2422299351829533,0.30055886065892184,-0.805931772072556,0.42081868903231867,-0.8333183693034018,0.3488584989374951,Negative,,False,0.09789927453651459,0.08021102501762278,7
BTC,2023-07-19,2024-07-17,365,Lagged_VIX_Change_Aligned,-0.0020036132905880298,0.002834635793225076,-0.7068327068249006,0.48013153631270067,-0.007578296494556481,0.0035710699133804213,Negative,,False,0.09789927453651459,0.08021102501762278,7
BTC,2023-07-19,2024-07-17,365,Lagged_Gold_Return_Aligned,0.022402126367190293,0.17942305062351588,0.12485645678936073,0.9007074660901959,-0.3304568437715089,0.3752610965058895,Positive,,False,0.09789927453651459,0.08021102501762278,7
BTC,2023-07-19,2024-07-17,365,Lagged_DXY_Return_Aligned,-0.6806325771920949,0.4241697240651421,-1.604623193445005,0.10946098623672974,-1.5148179924858067,0.1535528381016168,Negative,,False,0.09789927453651459,0.08021102501762278,7
BTC,2023-07-19,2024-07-17,365,Lagged_US10Y_Change_Aligned,-0.014640575064680845,0.026023520638480332,-0.5625900994745573,0.5740671357685956,-0.06581924279977197,0.03653809267041028,Negative,,False,0.09789927453651459,0.08021102501762278,7
BTC,2023-07-26,2024-07-24,365,const,-0.02701767178159935,0.07996476958465706,-0.33786968838816317,0.7356599781396205,-0.18427888289670194,0.13024353933350322,Negative,,False,0.09618306635043294,0.07846116569063755,7
BTC,2023-07-26,2024-07-24,365,BTC_Lagged_Return,-0.3013057001787013,0.1333350048449925,-2.25976442217092,0.024438087559605096,-0.5635264813411199,-0.03908491901628264,Negative,**,True,0.09618306635043294,0.07846116569063755,7
BTC,2023-07-26,2024-07-24,365,Lagged_Log_BTC_Volume,0.0012689721503870652,0.003377557066244657,0.37570709406191444,0.7073578065617717,-0.005373436970615662,0.007911381271389793,Positive,,False,0.09618306635043294,0.07846116569063755,7
BTC,2023-07-26,2024-07-24,365,Lagged_SP500_Return_Aligned,-0.21302988956584343,0.3055646648869452,-0.6971679452683497,0.48615143724134197,-0.8139628944840687,0.38790311535238176,Negative,,False,0.09618306635043294,0.07846116569063755,7
BTC,2023-07-26,2024-07-24,365,Lagged_VIX_Change_Aligned,-0.001322397988684965,0.002876071817564725,-0.4597931041251562,0.6459446161863256,-0.006978570571104628,0.004333774593734698,Negative,,False,0.09618306635043294,0.07846116569063755,7
BTC,2023-07-26,2024-07-24,365,Lagged_Gold_Return_Aligned,-0.0063063892308848485,0.16879221146559137,-0.03736184967379504,0.9702173738371563,-0.33825841935301654,0.32564564089124687,Negative,,False,0.09618306635043294,0.07846116569063755,7
BTC,2023-07-26,2024-07-24,365,Lagged_DXY_Return_Aligned,-0.6150374015367281,0.4209460321281056,-1.4610837366191283,0.14487202798121349,-1.4428830036738016,0.21280820060034533,Negative,,False,0.09618306635043294,0.07846116569063755,7
BTC,2023-07-26,2024-07-24,365,Lagged_US10Y_Change_Aligned,-0.016870834699170452,0.026334855884866518,-0.6406275687601305,0.5221756685022503,-0.06866178404482354,0.03492011464648264,Negative,,False,0.09618306635043294,0.07846116569063755,7
